Марка;Ссылка;Цена в долларах;Цена в гривнах;Город
Renault Logan 2020Life+ New 1.5DCi 5MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1779429.html;14 914 $;404 000 грн;Черкассы
Renault Dokker груз. 2020Acces 1.6 MT (84 л.с.);https://auto.ria.com/newauto/auto-renault-dokker-gruz-1841511.html;12 338 $;334 211 грн;Киев
Renault Logan 2020Zen New 1.5d MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1841344.html;15 108 $;409 239 грн;Киев
Renault Duster 2020Life 1.6 MT (115 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1839351.html;18 680 $;506 000 грн;Харьков
Renault Sandero 2020Zen 1.5DСi 5МТ (90 л.с.) Stepway;https://auto.ria.com/newauto/auto-renault-sandero-1775462.html;14 805 $;401 055 грн;Черкассы
Renault Logan 2020Life+ New 1.5d MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1775645.html;13 464 $;364 705 грн;Черкассы
Renault Sandero StepWay 2020Zen 0.9TCe 5РКП (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1841341.html;15 724 $;425 929 грн;Киев
Renault Kadjar 2020Zen 1.5 DCi MT6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1837502.html;23 626 $;640 000 грн;Харьков
Renault Duster 2020Life 1.6 MT (115 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1833585.html;18 347 $;497 000 грн;Харьков
Renault Duster 2020Life 1.6 MT (115 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1834031.html;18 860 $;510 876 грн;Черновцы
Renault Logan 2020Life+ New 1.5d MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1838209.html;13 900 $;376 514 грн;Черновцы
Renault Sandero StepWay 2020Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1839804.html;15 726 $;426 000 грн;Харьков
Renault Megane 2020Life New 1.5D МТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1831352.html;19 202 $;520 154 грн;Николаев
Renault Sandero 2020Individual 1.5DСi 5МТ (90 л.с.) Stepway;https://auto.ria.com/newauto/auto-renault-sandero-1781336.html;13 970 $;378 415 грн;Черкассы
Renault Duster 2020Intense 1.5 D MT (110 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1835496.html;22 762 $;616 595 грн;Ровно
Renault Sandero StepWay 2020Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1835565.html;14 805 $;401 055 грн;Ровно
Renault Master груз. 2020TFG 1 113 D6 2.3D MT (125 л.с.) L1H1 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1840354.html;28 249 $;765 221 грн;Киев
Renault Duster 2020Zen 1.6 MT (115 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1828363.html;17 264 $;467 645 грн;Ровно
Renault Duster 2020Life 1.5 D MT (110 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1834258.html;19 053 $;516 100 грн;Черновцы
Renault Duster 2020Life 1.6 MT (115 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1838440.html;16 092 $;435 900 грн;Харьков
Renault Kadjar 2020Intense 1.5 DCi EDC6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1840955.html;27 296 $;739 401 грн;Киев
Renault Logan 2020Zen New 1.5d MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1841001.html;15 099 $;409 000 грн;Харьков
Renault Sandero StepWay 2020Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1840477.html;15 726 $;426 000 грн;Харьков
Renault Trafic пасс. 2020Combi 1.6D MT (115 л.с.) L2H1;https://auto.ria.com/newauto/auto-renault-trafic-pass-1830657.html;31 672 $;857 933 грн;Черкассы
Renault Duster 2020Intense 1.5 D MT (110 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1834025.html;23 975 $;649 443 грн;Черновцы
Renault Kadjar 2020Zen 1.5 DCi MT6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1824162.html;23 056 $;624 536 грн;Черкассы
Renault Megane 2020Life New 1.6 МТ (115 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1824161.html;17 522 $;474 654 грн;Черкассы
Renault Megane 2020Zen New 1.5D МТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1833294.html;19 738 $;534 656 грн;Одесса
Renault Duster 2020Intense 1.5 D EDC (110 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1838738.html;23 147 $;627 000 грн;Харьков
Renault Dokker пасс. 2020Expression 1.6 МТ (84 л.с.);https://auto.ria.com/newauto/auto-renault-dokker-pass-1840958.html;16 132 $;437 000 грн;Харьков
Renault Megane 2020Individual New 1.5D AТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1836470.html;23 115 $;626 150 грн;Черкассы
Renault Koleos 2020Intense 2.0D CVT (177 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-koleos-1840426.html;36 688 $;993 812 грн;Киев
Renault Megane 2020Life New 1.6 МТ (115 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1840625.html;17 532 $;474 900 грн;Киев
Renault Sandero StepWay 2020Life+ 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1842800.html;15 136 $;410 000 грн;Харьков
Renault Duster 2020Zen 1.5 D MT (110 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1840425.html;21 416 $;580 131 грн;Киев
Renault Kadjar 2020Individual 1.5 DCi EDC6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1829820.html;27 296 $;739 400 грн;Днепр (Днепропетровск)
Renault Dokker пасс. 2020Expression 1.6 МТ (84 л.с.);https://auto.ria.com/newauto/auto-renault-dokker-pass-1835791.html;14 125 $;382 611 грн;Запорожье
Renault Logan 2020Life+ New 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1835706.html;10 739 $;290 904 грн;Запорожье
Renault Trafic пасс. 2020Combi 1.6D MT (115 л.с.) L2H1;https://auto.ria.com/newauto/auto-renault-trafic-pass-1841616.html;34 315 $;929 545 грн;Одесса
Renault Megane 2017Intense New 1.5D AТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1839268.html;20 304 $;550 000 грн;Ровно
Renault Sandero StepWay 2020Ultramarine 0.9TCe 5РКП (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1840675.html;15 220 $;412 272 грн;Ровно
Renault Duster 2020Intense 1.5 D MT (110 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1835796.html;21 503 $;582 493 грн;Запорожье
Renault Duster 2020Life 1.5 D MT (110 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1839265.html;18 716 $;506 980 грн;Ровно
Renault Trafic пасс. 2019Individual 1.6D MT (115 л.с.) L2H1;https://auto.ria.com/newauto/auto-renault-trafic-pass-1787469.html;32 449 $;879 000 грн;Харьков
Renault Logan 2020Life+ New 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1831218.html;11 670 $;316 125 грн;Хмельницкий
Renault Logan 2020Life+ New 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1838328.html;11 670 $;316 125 грн;Хмельницкий
Renault Koleos 2020Intense 2.0D CVT (177 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-koleos-1839755.html;39 137 $;1 060 154 грн;Одесса
Renault Sandero StepWay 2020Life+ 0.9TCe 5MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1842841.html;13 720 $;371 652 грн;Одесса
Renault Sandero StepWay 2020Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1835711.html;13 791 $;373 566 грн;Запорожье
Renault Sandero 2020Life+ 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-1835707.html;10 375 $;281 044 грн;Запорожье
Renault Sandero StepWay 2020Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1835710.html;13 791 $;373 566 грн;Запорожье
Renault Megane 2020Zen New 1.5D МТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1835708.html;19 297 $;522 735 грн;Запорожье
Renault Duster 2020Intense 1.5 D MT (110 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1835797.html;21 503 $;582 493 грн;Запорожье
Renault Duster 2020Intense 1.5 D MT (110 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1835793.html;21 503 $;582 493 грн;Запорожье
Renault Duster 2020Zen 1.6 MT (115 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1835795.html;16 045 $;434 623 грн;Запорожье
Renault Sandero StepWay 2020Zen 0.9TCe 5РКП (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1840892.html;15 627 $;423 316 грн;Одесса
Renault Duster 2020Zen 1.6 MT (115 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1835714.html;16 045 $;434 623 грн;Запорожье
Renault Sandero 2020Life+ 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-1835713.html;11 322 $;306 704 грн;Запорожье
Renault Kadjar 2020Intense 1.5 DCi EDC6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1840129.html;26 756 $;724 780 грн;Ровно
Renault Sandero StepWay 2020Ultramarine 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1842464.html;15 638 $;423 613 грн;Днепр (Днепропетровск)
Renault Trafic пасс. 2020Combi 1.6D MT (115 л.с.) L2H1;https://auto.ria.com/newauto/auto-renault-trafic-pass-1842462.html;33 137 $;897 612 грн;Днепр (Днепропетровск)
Renault Koleos 2020Intense 2.0D CVT (177 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-koleos-1838401.html;36 067 $;977 000 грн;Хмельницкий
Renault Logan 2020Life+ New 1.5DCi 5MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1835712.html;13 520 $;366 237 грн;Запорожье
Renault Logan 2020Life+ New 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1835799.html;11 688 $;316 604 грн;Запорожье
Renault Lodgy 2020Intense 1.5D МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-lodgy-1835794.html;16 988 $;460 170 грн;Запорожье
Renault Duster 2020Intense 1.6 MT (115 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1835416.html;20 138 $;545 500 грн;Хмельницкий
Renault Sandero StepWay 2020Life+ 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1838216.html;14 532 $;393 638 грн;Одесса
Renault Megane 2020Life New 1.5D МТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1842445.html;20 014 $;542 144 грн;Чернигов
Renault Kadjar 2020Intense 1.5 DCi EDC6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1841350.html;27 296 $;739 401 грн;Одесса
Renault Duster 2020Intense 1.5 D EDC (110 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1835709.html;20 736 $;561 693 грн;Запорожье
Renault Kadjar 2020Intense 1.5 DCi EDC6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1835705.html;24 390 $;660 676 грн;Запорожье
Renault Koleos 2020Intense 2.0D CVT (177 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-koleos-1838120.html;39 137 $;1 060 154 грн;Одесса
Renault Duster 2020Zen 1.6 MT (115 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1835818.html;16 410 $;444 522 грн;Запорожье
Renault Sandero StepWay 2020Individual 1.5DСi 5МТ (90 л.с.) Stepway+;https://auto.ria.com/newauto/auto-renault-sandero-stepway-1840504.html;15 524 $;420 520 грн;Хмельницкий
Renault Sandero StepWay 2020Life+ 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1838897.html;13 969 $;378 410 грн;Ровно
Renault Dokker груз. 2019Expression 1.5D MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-dokker-gruz-1840832.html;21 411 $;580 000 грн;Харьков
Renault Sandero 2020Life+ 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-1838761.html;11 527 $;312 238 грн;Днепр (Днепропетровск)
Renault Kadjar 2020Life 1.2 TCe 6MT (130 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1784023.html;19 049 $;516 000 грн;Винница
Renault Logan 2020Life+ New 1.5d MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1838386.html;13 587 $;368 038 грн;Одесса
Renault Sandero 2020Individual 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-1828657.html;11 527 $;312 238 грн;Днепр (Днепропетровск)
Renault Koleos 2020Intense 2.0D CVT (177 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-koleos-1786183.html;35 683 $;966 600 грн;Винница
Renault Logan 2020Individual New 0.9 MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1835905.html;13 663 $;370 116 грн;Днепр (Днепропетровск)
Renault Master груз. 2020TFG 1 223 D6 2.3D MT (125 л.с.) L2H2 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1839980.html;26 255 $;711 211 грн;Хмельницкий
Renault Logan 2020Life+ New 1.5DCi 5MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1838397.html;14 512 $;393 113 грн;Хмельницкий
Renault Kadjar 2019Intense 1.5 DCi EDC6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1840805.html;24 180 $;655 000 грн;Хмельницкий
Renault Sandero StepWay 20201.5DСi 5МТ (90 л.с.) Stepway+;https://auto.ria.com/newauto/auto-renault-sandero-stepway-1835805.html;15 383 $;416 700 грн;Хмельницкий
Renault Sandero StepWay 20201.5DСi 5МТ (90 л.с.) Stepway+;https://auto.ria.com/newauto/auto-renault-sandero-stepway-1839602.html;15 210 $;412 000 грн;Хмельницкий
Renault Kadjar 2020Life 1.2 TCe 6MT (130 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1831278.html;20 119 $;545 000 грн;Хмельницкий
Renault Kadjar 2020Intense 1.2 TCe EDC7 (130 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1830777.html;26 766 $;725 038 грн;Киев
Renault Koleos 2020Intense 2.0D CVT (177 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-koleos-1841434.html;35 031 $;948 934 грн;Киев
Renault Megane 2020Zen New 1.5D AТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1839623.html;23 200 $;628 440 грн;Киев
Renault Sandero 2020Zen 1.5DCi 5MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-1840834.html;14 583 $;395 016 грн;Киев
Renault Koleos 2020Intense 2.0D CVT (177 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-koleos-1840835.html;34 339 $;930 191 грн;Киев
Renault Kadjar 2020Life 1.2 TCe 6MT (130 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1836313.html;20 009 $;542 000 грн;Тернополь
Renault Sandero 2020Life+ 1.5DCi 5MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-1838404.html;13 546 $;366 950 грн;Хмельницкий
Renault Dokker пасс. 2020Expression 1.6 МТ (84 л.с.);https://auto.ria.com/newauto/auto-renault-dokker-pass-1835691.html;15 771 $;427 200 грн;Хмельницкий
Renault Kadjar 2019Intense 1.5 DCi EDC6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1838410.html;24 365 $;660 000 грн;Хмельницкий
Renault Sandero 2020Life+ 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-1835646.html;12 312 $;333 500 грн;Винница
Renault Sandero StepWay 2020Ultramarine 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1841490.html;15 638 $;423 613 грн;Одесса
Renault Duster 2020Zen 1.6 MT (115 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1839606.html;16 206 $;439 000 грн;Хмельницкий
Renault Sandero StepWay 2020Life+ 0.9TCe 5MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1840340.html;13 102 $;354 900 грн;Хмельницкий
Renault Duster 2020Life 1.6 MT (115 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1841525.html;16 140 $;437 200 грн;Хмельницкий
Renault Sandero StepWay 2020Life+ 0.9TCe 5MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1828367.html;12 866 $;348 510 грн;Ровно
Renault Kadjar 2019Intense 1.5 DCi EDC6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1838398.html;24 365 $;660 000 грн;Хмельницкий
Renault Logan 2020Life+ New 1.5DCi 5MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1839605.html;14 778 $;400 300 грн;Хмельницкий
Renault Koleos 2020Intense 2.0D CVT (177 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-koleos-1842810.html;38 084 $;1 031 630 грн;Киев
Renault Logan 2020Life+ New 1.5d MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1840634.html;13 290 $;360 000 грн;Хмельницкий
Renault Sandero StepWay 2020Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1841449.html;15 726 $;426 000 грн;Харьков
Renault Duster 2020Life 1.6 MT (115 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1838655.html;16 059 $;435 000 грн;Харьков
Renault Logan 2020Life+ New 1.5DCi 5MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1838597.html;14 512 $;393 113 грн;Хмельницкий
Renault Sandero StepWay 20201.5DСi 5МТ (90 л.с.) Stepway+;https://auto.ria.com/newauto/auto-renault-sandero-stepway-1838383.html;14 490 $;392 500 грн;Хмельницкий
Renault Logan 2020Life+ 1.0 MT (73 л.с.) ГБО;https://auto.ria.com/newauto/auto-renault-logan-1831227.html;12 741 $;345 125 грн;Хмельницкий
Renault Duster 2020Zen 1.5 D MT (110 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1830039.html;22 556 $;611 000 грн;Винница
Renault Duster 2020Life 1.6 MT (115 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1839361.html;15 824 $;428 636 грн;Хмельницкий
Renault Duster 2020Zen 1.6 MT (115 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1840637.html;16 871 $;457 000 грн;Хмельницкий
Renault Duster 2020Life 1.6 MT (115 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1841528.html;16 140 $;437 200 грн;Хмельницкий
Renault Logan 2020Life+ New 1.5d MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1839763.html;13 308 $;360 500 грн;Хмельницкий
